,tip,tip_pc
10,0,0.0
25,0,0.0
49,1,0.133009444693453
74,1,0.07756363561301516
78,0,0.0
82,0,0.0
88,1,0.07406538564283432
115,1,0.12594427535617952
129,1,0.1534362201290953
200,0,0.0
207,1,0.08404236326441868
256,1,0.09996910465226148
277,1,0.1307057690826558
296,1,0.09287228793811735
395,1,0.12293892720170957
439,0,0.0
448,1,0.12434681858312663
485,0,0.0
557,0,0.0
570,0,0.0
594,0,0.0
611,1,0.08298342447995596
623,1,0.07271694265030225
627,0,0.0
652,1,0.09259167303150119
658,0,0.0
669,0,0.0
678,0,0.0
746,1,0.12217245434041102
778,0,0.0
782,1,0.08795422960890287
868,0,0.0
881,1,0.11518155929453748
923,1,0.07786833395336176
948,0,0.0
988,1,0.12355812084548515
999,0,0.0
1014,1,0.09360818100025531
1021,0,0.0
1046,1,0.1425337759313321
1073,0,0.0
1097,0,0.0
1110,1,0.0977630489910924
1124,0,0.0
1158,0,0.0
1178,0,0.0
1186,1,0.07786614594993528
1199,1,0.12434153223372527
1207,0,0.0
1227,1,0.07283154851899608
1234,0,0.0
1243,0,0.0
1269,1,0.13295170349139873
1297,0,0.0
1305,1,0.08627728444057853
1326,1,0.11376348741045997
1398,1,0.06678161741103153
1414,1,0.07832405655129686
1435,1,0.08156750345272482
1454,0,0.0
1471,1,0.13205956966385293
1477,1,0.0802344143767957
1511,1,0.09377309240032858
1545,0,0.0
1563,1,0.10362395111306733
1569,0,0.0
1577,0,0.0
1581,1,0.11308449468267201
1605,1,0.07861786643860773
1612,0,0.0
1633,1,0.14815416819038835
1641,0,0.0
1668,1,0.09765520828476193
1674,1,0.07231022809957473
1679,1,0.08913060044773358
1692,0,0.0
1699,1,0.11793103373349845
1711,0,0.0
1739,1,0.10263899193746864
1743,1,0.06769634557681961
1747,0,0.0
1758,0,0.0
1799,0,0.0
1808,1,0.10011018425929949
1822,1,0.09497463460803736
1863,0,0.0
1879,0,0.0
1889,0,0.0
1914,0,0.0
1947,1,0.09785835744385146
1992,1,0.07715372085864361
1997,0,0.0
2074,1,0.10972473241119628
2125,1,0.14088687593013854
2140,1,0.14351486248358586
2148,1,0.10742666167604578
2157,1,0.07311813839317388
2198,1,0.07475163687255883
2212,0,0.0
2220,0,0.0
2268,1,0.0855634589521069
2425,1,0.10579683025625924
2434,1,0.07903059262759878
2458,0,0.0
2479,0,0.0
2506,0,0.0
2517,1,0.113849070877415
2538,0,0.0
2568,1,0.09481953126668945
2579,1,0.12649412860504242
2631,1,0.10363650047026601
2659,0,0.0
2683,0,0.0
2690,0,0.0
2711,1,0.0678054561630174
2717,1,0.0732976759408628
2767,0,0.0
2779,1,0.11375083313132904
2786,0,0.0
2827,1,0.12856628438115447
2845,1,0.09997439322874402
2868,1,0.08165705333109144
2874,0,0.0
2880,1,0.08317740443901062
2949,1,0.08685506702206926
2974,0,0.0
2980,0,0.0
2984,0,0.0
3002,1,0.0752019150618558
3020,1,0.09985255692767897
3079,1,0.09652234286697509
3092,0,0.0
3121,1,0.07197909018227011
3144,1,0.1228521666100113
3164,1,0.08210334435132763
3264,1,0.15394590110472006
3269,1,0.14853699952130534
3282,1,0.16517020040587294
3288,0,0.0
3316,1,0.13365135539111575
3322,0,0.0
3352,0,0.0
3359,1,0.0804147130511248
3393,1,0.10181269639806295
3410,1,0.08728688210055378
3505,1,0.07962709492128373
3555,1,0.11234228674144717
3559,0,0.0
3593,1,0.1006905843493417
3648,1,0.07010505762957933
3659,0,0.0
3663,0,0.0
3791,0,0.0
3853,0,0.0
3859,1,0.08327107379271173
3865,0,0.0
3897,1,0.0922685023642768
3925,1,0.10034005170225155
3939,0,0.0
4020,0,0.0
4032,0,0.0
4048,0,0.0
4052,0,0.0
4069,1,0.08203564876686525
4088,0,0.0
4134,1,0.07354087579429326
4138,0,0.0
4156,0,0.0
4165,0,0.0
4211,1,0.12071099273071909
4245,1,0.13309469928270773
4269,0,0.0
4306,1,0.08014483880416823
4322,1,0.1171035884699281
4332,0,0.0
4352,0,0.0
4465,1,0.06470133060202796
4522,1,0.09007691805531151
4557,1,0.07142445318286181
4563,0,0.0
4580,0,0.0
4585,1,0.08825387803638995
4589,0,0.0
4608,0,0.0
4658,1,0.06765412161767667
4715,0,0.0
4733,0,0.0
4749,0,0.0
4773,0,0.0
4780,0,0.0
4796,1,0.08767116044310348
4845,0,0.0
4927,1,0.10731785813971052
4932,0,0.0
4957,1,0.07359375086417018
5022,0,0.0
5122,1,0.13183011620957846
5243,0,0.0
5249,1,0.1316792628241652
5254,1,0.13885338112588413
5281,1,0.07616993887470652
5298,1,0.15552400875910316
5353,1,0.08602659100910748
5425,1,0.1650702340612935
5437,0,0.0
5445,1,0.08917200740962382
5451,0,0.0
5515,1,0.11804580973045878
5528,0,0.0
5537,1,0.07267833222320365
5545,0,0.0
5640,1,0.19082683270377637
5672,1,0.0865970012548235
5688,1,0.10635830229329761
5700,0,0.0
5717,0,0.0
5722,0,0.0
5736,0,0.0
5743,1,0.10002921344459179
5776,0,0.0
5784,1,0.08625102550966723
5799,1,0.06749838489631947
5814,1,0.15612900431553656
5837,0,0.0
5857,1,0.10378010265425505
5870,1,0.08781106978403251
5878,0,0.0
5894,0,0.0
5905,1,0.0812680491999685
5930,1,0.11158282479157558
5965,1,0.13753293990176116
6024,0,0.0
